# y+ u+
1.054557883895367321e-02 1.054527346420741131e-02
3.898567424427084342e-02 3.898150028900437245e-02
9.266416643727822213e-02 9.264057361745806432e-02
1.252587231094027254e-01 1.367162570668222499e-01
2.505195223879549959e-01 2.733507513552222434e-01
3.757844741318465687e-01 4.099030077045890952e-01
5.010556548931036636e-01 5.463695146975484640e-01
6.263351416067483024e-01 6.827437934717849322e-01
7.516250117188368884e-01 8.190162863844755448e-01
8.769273433142982244e-01 9.551743111953895360e-01
1.002244215244491921e+00 1.091202085662671406e+00
1.127577707255726258e+00 1.227080769441560637e+00
1.252929900117014883e+00 1.362788568485129526e+00
1.378302875748476097e+00 1.498300845869537712e+00
1.503698717349647662e+00 1.633590300055068889e+00
1.629119509528124343e+00 1.768627140815861143e+00
1.754567338428193679e+00 1.903379323461920736e+00
1.880044291859553240e+00 2.037812773883509898e+00
2.005552459426743095e+00 2.171891658707352679e+00
2.131093932657982748e+00 2.305578640567840676e+00
2.256670805135123636e+00 2.438835163929510941e+00
2.382285172623243685e+00 2.571621721306088570e+00
2.507939133200480342e+00 2.703898136467431268e+00
2.633634787388581255e+00 2.835623824570996376e+00
2.759374238283536673e+00 2.966758057981615959e+00
2.885159591686090153e+00 3.097260206951865324e+00
3.010992956233487838e+00 3.227089977449499436e+00
3.136876443530707270e+00 3.356207623172883014e+00
3.262812168282206660e+00 3.484574148882592759e+00
3.388802248424670704e+00 3.612151488457159942e+00
3.514848805259357611e+00 3.738902670786629745e+00
3.640953963585282782e+00 3.864791961860814862e+00
3.767119851832484656e+00 3.989784993084414921e+00
3.893348602196407438e+00 4.113848867897210049e+00
4.019642350771722050e+00 4.236952254385637495e+00
4.146003237687666321e+00 4.359065458683108574e+00
4.272433407242829162e+00 4.480160485067607112e+00
4.398935008041679140e+00 4.600211079489164412e+00
4.525510193130072523e+00 4.719192761090074129e+00
4.652161120132661587e+00 4.837082839792196332e+00
4.778889951390509871e+00 4.953860423493243736e+00
4.905698854098268669e+00 5.069506413850364268e+00
5.032590000443544653e+00 5.184003493414264696e+00
5.159565567745747927e+00 5.297336103679769259e+00
5.286627738595706560e+00 5.409490416217606068e+00
5.413778700996468629e+00 5.520454296817151274e+00
5.541020648504066948e+00 5.630217264340328320e+00
5.668355780369485508e+00 5.738770444425867367e+00
5.795786301680778685e+00 5.846106519379232758e+00
5.923314423506750082e+00 5.952219674493324675e+00
6.050942363040112681e+00 6.057105541845951180e+00
6.178672343742686479e+00 6.160761141857665990e+00
6.306506595490467326e+00 6.263184823424770009e+00
6.434447354719905476e+00 6.364376202908042401e+00
6.562496864574529631e+00 6.464336102606260681e+00
6.690657375053257638e+00 6.563066488968367196e+00
6.818931143158510011e+00 6.660570411023594595e+00
6.947320433045737431e+00 6.756851939244926442e+00
7.075827516173860410e+00 6.851916105204836072e+00
7.204454671456393733e+00 6.945768842195752413e+00
7.333204185413634946e+00 7.038416927077697949e+00
7.462078352325355546e+00 7.129867923483157455e+00
7.591079474385446169e+00 7.220130126564303197e+00
7.720209861856220712e+00 7.309212509373482547e+00
7.849471833224733075e+00 7.397124671000679719e+00
7.978867715359622359e+00 7.483876786523913083e+00
8.108399843669085172e+00 7.569479558847586276e+00
8.238070562259984797e+00 7.653944172455314110e+00
8.367882224097769495e+00 7.737282249113514254e+00
8.497837191168036597e+00 7.819505805527894537e+00
8.627937834638391479e+00 7.900627212959463463e+00
8.758186535022280950e+00 7.980659158782085427e+00
8.888585682343304484e+00 8.059614609966081034e+00
9.019137676301230755e+00 8.137506778454211442e+00
9.149844926438776227e+00 8.214349088398021692e+00
9.280709852309950492e+00 8.290155145209642029e+00
9.411734883649378602e+00 8.364938706385164124e+00
9.542922460543318053e+00 8.438713654046871682e+00
9.674275033601068330e+00 8.511493969152589045e+00
9.805795064128849603e+00 8.583293707314465948e+00
9.937485024304164583e+00 8.654126976170738672e+00
1.006934739735207174e+01 8.724007914250243800e+00
1.020138467772215485e+01 8.792950671270517660e+00
1.033359937126753003e+01 8.860969389809117303e+00
1.046599399542556874e+01 8.928078188287994266e+00
1.059857107939851417e+01 8.994291145211473548e+00
1.073133316433778184e+01 9.059622284598798814e+00
1.086428280352781606e+01 9.124085562553421624e+00
1.099742256257261630e+01 9.187694854912434650e+00
1.113075501958375213e+01 9.250463945920790465e+00
1.126428276536916151e+01 9.312406517876826939e+00
1.139800840362462964e+01 9.373536141697163870e+00
1.153193455112602983e+01 9.433866268350705298e+00
1.166606383792370671e+01 9.493410221113506964e+00
1.180039890753859488e+01 9.552181188598089179e+00
1.193494241715946202e+01 9.610192218512375817e+00
1.206969703784283610e+01 9.667456212105250302e+00
1.220466545471374431e+01 9.723985919257909671e+00
1.233985036716899053e+01 9.779793934180759152e+00
1.247525448908183066e+01 9.834892691678536636e+00
1.261088054900880628e+01 9.889294463946708191e+00
1.274673129039790886e+01 9.943011357864554256e+00
1.288280947179980274e+01 9.996055312751003896e+00
1.301911786707933771e+01 1.004843809855177028e+01
1.315565926563068011e+01 1.010017131442670824e+01
1.329243647259334260e+01 1.015126638770863110e+01
1.342945230907093901e+01 1.020173457320601251e+01
1.356670961235147566e+01 1.025158695282354770e+01
1.370421123613003900e+01 1.030083443547592736e+01
1.384196005073368951e+01 1.034948775727235137e+01
1.397995894334819944e+01 1.039755748194984264e+01
1.411821081824736801e+01 1.044505400153572161e+01
1.425671859702449851e+01 1.049198753722033750e+01
1.439548521882567833e+01 1.053836814042278647e+01
1.453451364058607354e+01 1.058420569403292610e+01
1.467380683726808499e+01 1.062950991381403654e+01
1.481336780210198434e+01 1.067429034995121917e+01
1.495319954682922159e+01 1.071855638873120853e+01
1.509330510194752506e+01 1.076231725433884812e+01
1.523368751695923962e+01 1.080558201075721492e+01
1.537434986062182141e+01 1.084835956375725807e+01
1.551529522120067206e+01 1.089065866296407314e+01
1.565652670672509750e+01 1.093248790398680192e+01
1.579804744524633975e+01 1.097385573060024910e+01
1.593986058509892523e+01 1.101477043696657709e+01
1.608196929516383378e+01 1.105524016988638891e+01
1.622437676513542115e+01 1.109527293106985546e+01
1.636708620579012674e+01 1.113487657941891662e+01
1.651010084925903953e+01 1.117405883331369942e+01
1.665342394930251402e+01 1.121282727289607273e+01
1.679705878158791776e+01 1.125118934234580514e+01
1.694100864397060136e+01 1.128915235214436663e+01
1.708527685677783836e+01 1.132672348132296669e+01
1.722986676309507104e+01 1.136390977969180405e+01
1.737478172905639440e+01 1.140071817004791832e+01
1.752002514413726431e+01 1.143715545035945880e+01
1.766560042145091458e+01 1.147322829592382298e+01
1.781151099804749549e+01 1.150894326149811775e+01
1.795776033521703852e+01 1.154430678339906891e+01
1.810435191879532368e+01 1.157932518157055846e+01
1.825128925947323921e+01 1.161400466161586387e+01
1.839857589310967967e+01 1.164835131679258851e+01
1.854621538104743195e+01 1.168237112996730964e+01
1.869421131043317175e+01 1.171606997552791718e+01
1.884256729454083512e+01 1.174945362125106918e+01
1.899128697309807379e+01 1.178252773012307308e+01
1.914037401261728988e+01 1.181529786211266853e+01
1.928983210672948445e+01 1.184776947589483953e+01
1.943966497652225200e+01 1.187994793052538967e+01
1.958987637088202760e+01 1.191183848706710080e+01
1.974047006683910510e+01 1.194344631016932468e+01
1.989144986991771802e+01 1.197477646960366648e+01
2.004281961448950256e+01 1.200583394175989049e+01
2.019458316413057020e+01 1.203662361110762724e+01
2.034674441198406569e+01 1.206715027162945653e+01
2.049930728112513023e+01 1.209741862823277714e+01
2.065227572493145303e+01 1.212743329814720639e+01
2.080565372745725128e+01 1.215719881231433774e+01
2.095944530381166615e+01 1.218671961677619642e+01
2.111365450054226045e+01 1.221600007406689592e+01
2.126828539602184875e+01 1.224504446461019569e+01
2.142334210084043988e+01 1.227385698812437553e+01
2.157882875820202884e+01 1.230244176503218512e+01
2.173474954432498762e+01 1.233080283787234244e+01
2.189110866884862006e+01 1.235894417270647594e+01
2.204791037524277897e+01 1.238686966051401583e+01
2.220515894122346268e+01 1.241458311856620256e+01
2.236285867917334258e+01 1.244208829177132003e+01
2.252101393656599981e+01 1.246938885398328267e+01
